user,total_pos_rating,total_neg_rating,total_pos_pur,total_neg_pur
468,45344,10616,36563,19397
469,45628,10687,36775,19540
470,45632,10688,36778,19542
471,45642,10691,36786,19547
472,45702,10695,36844,19553
473,45745,10706,36896,19555
474,45757,10708,36903,19562
475,45953,10749,37071,19631
476,45958,10749,37074,19633
477,45977,10754,37081,19650
478,46027,10762,37121,19668
479,46046,10762,37133,19675
480,46052,10763,37135,19680
481,46312,10824,37345,19791
482,46548,10870,37518,19900
483,46717,10904,37673,19948
484,46769,10915,37730,19954
485,46872,10946,37816,20002
486,46887,10949,37821,20015
487,46906,10955,37844,20017
488,47185,11022,38062,20145
489,47489,11095,38276,20308
490,47619,11119,38368,20370
491,47628,11124,38370,20382
492,47695,11136,38441,20390
493,47718,11146,38470,20394
494,47748,11152,38504,20396
495,48025,11218,38743,20500
496,48037,11222,38750,20509
497,48051,11223,38760,20514
498,48196,11255,38874,20577
499,48383,11306,39020,20669
500,48398,11308,39031,20675
501,48523,11340,39120,20743
502,48546,11342,39144,20744
503,48811,11402,39360,20853
504,49088,11466,39636,20918
505,49106,11472,39647,20931
506,49116,11477,39654,20939
507,49139,11479,39678,20940
508,49354,11543,39848,21049
509,49359,11543,39852,21050
510,49359,11544,39852,21051
511,49413,11553,39912,21054
512,49432,11560,39917,21075
513,49432,11560,39917,21075
514,49729,11631,40162,21198
515,49745,11633,40170,21208
516,49906,11667,40289,21284
517,49960,11676,40324,21312
518,49966,11676,40327,21315
519,50098,11706,40412,21392
520,50147,11709,40463,21393
521,50184,11711,40496,21399
522,50190,11715,40497,21408
523,50218,11717,40523,21412
524,50318,11736,40597,21457
525,50377,11749,40658,21468
526,50483,11776,40747,21512
527,50606,11805,40845,21566
528,50898,11880,41073,21705
529,50942,11890,41112,21720
530,51251,11974,41370,21855
531,51386,12008,41479,21915
532,51397,12010,41481,21926
533,51407,12012,41485,21934
534,51421,12018,41488,21951
535,51579,12052,41607,22024
536,51594,12060,41617,22037
537,51887,12125,41854,22158
538,51911,12131,41884,22158
539,51989,12148,41960,22177
540,51989,12149,41960,22178
541,52180,12206,42112,22274
542,52278,12230,42210,22298
543,52369,12251,42315,22305
544,52419,12254,42367,22306
545,52428,12256,42372,22312
546,52451,12258,42396,22313
547,52481,12264,42423,22322
548,52662,12317,42569,22410
549,52671,12323,42574,22420
550,52698,12326,42593,22431
551,52708,12328,42594,22442
552,52855,12356,42712,22499
553,52903,12361,42756,22508
554,52990,12383,42858,22515
555,53172,12425,42994,22603
556,53201,12429,43026,22604
557,53546,12509,43302,22753
558,53624,12540,43389,22775
559,53839,12607,43558,22888
560,53957,12629,43676,22910
